"Subject" "List" "Date" "Time" "Run" "Trial" "condition" "delaycondition" "Target" "WordPresentationOnset" "MathRespOnset" "RecallwordOnset" "Recallword.ACC" "finalrecall" "finalrecognition" "syllables" "living" "PC1" "PC2" "PC1fac" "PC2fac" "MDSF1" "MDSF2" "MDSF3"
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 70 "shallow" "easymathtrialproc" "farmer" 524828 536128 538128 1 0 0 2 TRUE -0.642238025542287 -0.104094409262642 "low" "low" -0.171913837615429 0.0766707129946501 -0.116495429420443
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 71 "deep" "easymathtrialproc" "brownie" 548234 559534 561534 1 0 1 2 FALSE 0.637003147360448 2.78290428511045 "high" "high" -0.258112718811213 0.338925941023953 -0.0105745594962334
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 3 72 "deep" "rehearse" "asphalt" 571624 582924 584924 1 1 1 2 FALSE 0.511258796018273 0.272929754611097 "high" "high" 0.22282600339863 0.0608563593142107 0.0192833355524343
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 73 "deep" "easymathtrialproc" "beaver" 12000 23300 25300 1 0 1 2 TRUE -0.806896645491021 -1.97799724574176 "low" "low" -0.0811241187514662 -0.0724933933028565 0.0372963388173797
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 74 "shallow" "easymathtrialproc" "beverage" 34390 45690 47690 1 0 1 3 FALSE 2.54206450136966 1.75747480438455 "high" "high" 0.127079687561648 0.601775941376461 0.135809124318679
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 75 "deep" "easymathtrialproc" "fireplace" 58796 70096 72096 1 0 1 2 FALSE 2.40089155976084 -1.69110569286913 "high" "low" 0.297290706151381 -0.109381655741702 -0.480084086877257
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 76 "shallow" "hardmathtrialproc" "laundry" 85187 96487 98487 0 0 0 2 FALSE 0.775640054032153 1.553966649418 "high" "high" 0.367202945865148 0.0488178372206344 -0.246039677433708
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 77 "deep" "rehearse" "jelly" 107527 118827 120827 1 0 1 2 FALSE -0.790177721784639 1.28017104029108 "low" "high" 0.12996262988509 0.523052096742231 0.00545519016119918
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 78 "shallow" "easymathtrialproc" "octopus" 131917 143217 145217 0 0 1 3 TRUE 1.61114101095209 -0.28144111786088 "high" "low" -0.300865376375124 0.275186333424939 0.106746091256123
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 79 "shallow" "hardmathtrialproc" "giraffe" 155324 166624 168624 1 0 1 2 TRUE 0.161106741268551 0.419259372357088 "high" "high" -0.585849033675036 -0.186721275900383 0.190562106752893
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 80 "deep" "hardmathtrialproc" "house" 181664 192964 194964 1 1 1 1 FALSE -1.31813087907113 4.80082324156241 "low" "high" 0.267413403221336 0.0825101839300887 -0.0359061576796637
109 "WMLOP_List3" "06/04/2012" "1:28:33PM" 4 81 "shallow" "hardmathtrialproc" "cobra" 208005 219305 221305 1 0 1 1 TRUE -0.57749306512101 0.091159790453585 "low" "low" -0.561361300196353 -0.271116662455874 -0.0622445718290773
