"run" "onset" "image" "lead_up" "rep_num" "fix_num" "response" "rt" "null" "face_gen" "bad" "dfixnum" "mfixnum" "fixdiff12" "fixdiff23" "fixdiff34" "fixdiff14" "rslope" "nrslope" "fixnplus1" "fixnminus1"
2 78 "M119.jpg" 1 2 8 2 1.2 0 "male" 0 -0.222222222222222 9 0 0 0 0 0 0 NA -2
2 84 "F112.jpg" 1 1 14 1 1.55 0 "female" 0 0 10.25 0 0 0 0 0 0 -6 NA
2 90 "F119.jpg" 1 2 12 1 1.17 0 "female" 0 -0.222222222222222 13.5 0 0 0 0 0 0 NA -3
2 96 "M112.jpg" 1 1 11 1 1.16 0 "male" 0 0 9 0 0 0 0 0 0 -4 NA
2 102 "null.jpg" 1 -1 1 3 1.02 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 108 "F111.jpg" 1 2 9 1 1.28 0 "female" 0 -0.242424242424242 8.25 0 0 0 0 0 0 -4 -2
2 114 "F120.jpg" 1 2 9 1 1.17 0 "female" 0 -0.321428571428571 9.33333333333333 0 0 0 0 0 0 -2 -3
2 120 "null.jpg" 1 -1 4 3 1.41 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 126 "M120.jpg" 1 2 8 1 2.12 0 "male" 0 -0.25 8 0 0 0 0 0 0 -2 -2
2 132 "null.jpg" 1 -1 6 3 0.86 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 138 "M112.jpg" 1 2 7 1 1.24 0 "male" 0 -0.444444444444444 9 0 0 0 0 0 0 4 -4
2 144 "F113.jpg" 1 1 12 2 1.1 0 "female" 0 0 8 0 0 0 0 0 0 -4 NA
2 150 "M113.jpg" 1 1 12 1 1.22 0 "male" 0 0 9.5 0 0 0 0 0 0 0 NA
2 156 "F112.jpg" 1 2 8 1 1.04 0 "female" 0 -0.585365853658537 10.25 0 0 0 0 0 0 2 -6
2 162 "F120.jpg" 1 3 7 1 0.91 0 "female" 0 -0.214285714285714 9.33333333333333 0 0 0 0 -1.32395283235157 -0.752556230467104 NA -2
2 168 "null.jpg" 1 -1 2 3 0.83 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 174 "F111.jpg" 1 3 5 1 1.23 0 "female" 0 -0.484848484848485 8.25 0 0 0 0 0 0 3 -4
2 180 "M120.jpg" 1 3 6 1 0.77 0 "male" 0 -0.25 8 0 0 0 0 -0.869200974017947 -0.693098158870387 NA -2
2 186 "M111.jpg" 1 3 7 2 1.03 0 "male" 0 -0.5 10 0 0 0 0 0 0 2 -5
2 192 "F112.jpg" 0 3 10 1 0.92 0 "female" 0 0.195121951219512 10.25 0 0 0 0 0 0 -1 2
2 198 "M114.jpg" 0 1 13 1 1.57 0 "male" 0 0 9.75 0 0 0 0 0 0 -2 NA
2 204 "M112.jpg" 0 3 11 1 1.23 0 "male" 0 0.444444444444444 9 0 0 0 0 0 0 -4 4
2 210 "F111.jpg" 0 4 8 1 0.98 0 "female" 0 0.363636363636364 8.25 0 0 0 0 -0.184221263210557 -0.201400781780703 NA 3
2 216 "null.jpg" 0 -1 2 3 0.77 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 222 "M111.jpg" 0 4 9 2 1.15 0 "male" 0 0.2 10 0 0 0 0 -0.323498744017596 -0.161560282713968 NA 2
2 228 "F114.jpg" 0 1 12 1 2.49 0 "female" 0 0 10.5 0 0 0 0 0 0 0 NA
2 234 "M113.jpg" 0 2 12 1 1.14 0 "male" 0 0 9.5 0 0 0 0 0 0 -3 0
2 240 "F113.jpg" 0 2 8 2 1.52 0 "female" 0 -0.5 8 0 0 0 0 0 0 -1 -4
2 246 "null.jpg" 0 -1 4 3 0.89 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 252 "F115.jpg" 0 1 10 2 2.05 0 "female" 0 0 9.66666666666667 0 0 0 0 0 0 2 NA
2 258 "M113.jpg" 0 3 9 1 0.81 0 "male" 0 -0.31578947368421 9.5 0 0 0 0 0 0 -4 -3
2 264 "F112.jpg" 0 4 9 1 1.17 0 "female" 0 -0.0975609756097561 10.25 0 0 0 0 -0.416300485232199 -0.159975677733209 NA -1
2 270 "F113.jpg" 0 3 7 2 0.92 0 "female" 0 -0.125 8 0 0 0 0 0 0 -2 -1
2 276 "null.jpg" 0 -1 1 3 0.67 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 282 "null.jpg" 0 -1 7 3 0.97 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 288 "F114.jpg" 0 2 12 1 1.11 0 "female" 0 0 10.5 0 0 0 0 0 0 -2 0
2 294 "M112.jpg" 0 4 7 1 0.99 0 "male" 0 -0.444444444444444 9 0 0 0 0 0.222203485982754 0.0999449825608473 NA -4
2 300 "M115.jpg" 0 1 9 2 1.49 0 "male" 0 0 8 0 0 0 0 0 0 1 NA
2 306 "M114.jpg" 0 2 11 1 1.37 0 "male" 0 -0.205128205128205 9.75 0 0 0 0 0 0 -5 -2
2 312 "null.jpg" 0 -1 5 3 0.75 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 318 "M114.jpg" 0 3 6 1 0.88 0 "male" 0 -0.512820512820513 9.75 0 0 0 0 0 0 3 -5
2 324 "F115.jpg" 0 2 12 2 1.56 0 "female" 0 0.206896551724138 9.66666666666667 0 0 0 0 0 0 -5 2
2 330 "F114.jpg" 0 3 10 1 0.9 0 "female" 0 -0.19047619047619 10.5 0 0 0 0 0 0 -2 -2
2 336 "M115.jpg" 0 2 10 2 1.42 0 "male" 0 0.125 8 0 0 0 0 0 0 -5 1
2 342 "M116.jpg" 0 1 12 2 1.43 0 "male" 0 0 10 0 0 0 0 0 0 -4 NA
2 348 "F116.jpg" 0 1 12 1 1.28 0 "female" 0 0 9 0 0 0 0 0 0 -6 NA
2 354 "null.jpg" 0 -1 5 3 0.74 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 360 "M113.jpg" 0 4 5 1 0.79 0 "male" 0 -0.421052631578947 9.5 0 0 0 0 -1.23300246068485 -1.53730537394235 NA -4
2 366 "F113.jpg" 0 4 5 2 1.05 0 "female" 0 -0.25 8 0 0 0 0 -1.09752065225018 -0.667631912272306 NA -2
2 372 "M117.jpg" 0 1 9 2 1 0 "male" 0 0 9 0 0 0 0 0 0 NA NA
2 378 "M116.jpg" 0 2 8 2 0.91 0 "male" 0 -0.4 10 0 0 0 0 0 0 NA -4
2 384 "null.jpg" 0 -1 4 3 1.29 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
2 390 "M115.jpg" 0 3 5 2 0.84 0 "male" 0 -0.625 8 0 0 0 0 -0.869200974017949 -0.735486780812649 NA -5
2 396 "M114.jpg" 0 4 9 1 1.68 0 "male" 0 0.307692307692308 9.75 0 0 0 0 -0.412597746136446 -0.189366397646441 NA 3
2 402 "F116.jpg" 0 2 6 1 0.89 0 "female" 0 -0.666666666666667 9 0 0 0 0 0 0 NA -6
2 408 "F114.jpg" 0 4 8 1 0.73 0 "female" 0 -0.19047619047619 10.5 0 0 0 0 -0.323498744017597 -0.130293348822414 NA -2
2 414 "F115.jpg" 0 3 7 2 0.84 0 "female" 0 -0.517241379310345 9.66666666666667 0 0 0 0 -0.414449115684321 -0.319199677345329 NA -5
2 420 "null.jpg" 0 -1 5 3 0.87 1 "n/a" 0 0 0 0 0 0 0 0 0 NA NA
