"Video" "Condition" "Onsettime" "OnsetDelay" "TargetTime" "run" "repnum" "MR_series" "Rating" "RT" "Slow_Load" "Onset" "constant"
"BalJazz" "Encod" 354.154 4 354.15 2 6 5 "Video" "Video" 0 354.154 "cons"
"Car" "Recall" 358.903 3 358.9 2 6 5 "3" "1375" NA 358.903 "cons"
"Coliseum" "Encod" 368.152 2 368.15 2 6 5 "Video" "Video" 0 368.152 "cons"
"Crying" "Recall" 373.651 1 373.65 2 6 5 "2" "2515" NA 373.651 "cons"
"BalJazz" "Recall" 382.15 0 382.15 2 6 5 "2" "1032" NA 382.15 "cons"
"Avalanche" "Recall" 391.398 -2 391.4 2 6 5 "2" "1168" NA 391.398 "cons"
"RCoaster" "Encod" 400.647 -3 400.65 2 6 5 "Video" "Video" 0 400.647 "cons"
"Meat" "Encod" 405.396 -4 405.4 2 6 5 "Video" "Video" 0 405.396 "cons"
"Owl" "Encod" 410.145 -5 410.15 2 6 5 "Video" "Video" 0 410.145 "cons"
"Meat" "Recall" 414.895 -5 414.9 2 6 5 "3" "1254" NA 414.895 "cons"
"Diving" "Recall" 423.41 10 423.4 2 6 5 "2" "788" NA 423.41 "cons"
"RCoaster" "Recall" 432.659 9 432.65 2 6 5 "3" "1571" NA 432.659 "cons"
"Coliseum" "Recall" 441.907 7 441.9 2 6 5 "3" "1418" NA 441.907 "cons"
"SkateDog" "Encod" 450.406 6 450.4 2 6 5 "Video" "Video" 0 450.406 "cons"
"SkateDog" "Recall" 455.905 5 455.9 2 6 5 "3" "940" NA 455.905 "cons"
"Owl" "Recall" 464.404 4 464.4 2 6 5 "3" "1226" NA 464.404 "cons"
"Obama" "Encod" 10.899 -1 10.9 3 7 6 "Video" "Video" 0 10.899 "cons"
"Meat" "Encod" 15.648 -2 15.65 3 7 6 "Video" "Video" 0 15.648 "cons"
"Obama" "Recall" 21.147 -3 21.15 3 7 6 "3" "443" NA 21.147 "cons"
"RCoaster" "Encod" 29.646 -4 29.65 3 7 6 "Video" "Video" 0 29.646 "cons"
"Coliseum" "Encod" 34.395 -5 34.4 3 7 6 "Video" "Video" 0 34.395 "cons"
"Crying" "Encod" 39.145 -5 39.15 3 7 6 "Video" "Video" 0 39.145 "cons"
"RCoaster" "Recall" 44.661 11 44.65 3 7 6 "3" "1258" NA 44.661 "cons"
"Coliseum" "Recall" 53.159 9 53.15 3 7 6 "2" "1456" NA 53.159 "cons"
"Avalanche" "Encod" 61.658 8 61.65 3 7 6 "Video" "Video" 0 61.658 "cons"
"Diving" "Encod" 67.157 7 67.15 3 7 6 "Video" "Video" 0 67.157 "cons"
"Meat" "Recall" 71.906 6 71.9 3 7 6 "2" "1524" NA 71.906 "cons"
"BalJazz" "Encod" 81.155 5 81.15 3 7 6 "Video" "Video" 0 81.155 "cons"
"Owl" "Encod" 86.654 4 86.65 3 7 6 "Video" "Video" 0 86.654 "cons"
"Car" "Encod" 91.404 4 91.4 3 7 6 "Video" "Video" 0 91.404 "cons"
"Crying" "Recall" 96.903 3 96.9 3 7 6 "2" "1968" NA 96.903 "cons"
"SkateDog" "Encod" 105.401 1 105.4 3 7 6 "Video" "Video" 0 105.401 "cons"
"SkateDog" "Encod" 110.151 1 110.15 3 8 6 "Video" "Video" 0 110.151 "cons"
"Avalanche" "Recall" 115.65 0 115.65 3 7 6 "2" "1349" NA 115.65 "cons"
"Diving" "Recall" 124.899 -1 124.9 3 7 6 "3" "1428" NA 124.899 "cons"
"BalJazz" "Recall" 133.397 -3 133.4 3 7 6 "2" "1009" NA 133.397 "cons"
"SkateDog" "Recall" 142.646 -4 142.65 3 7 6 "2" "1721" NA 142.646 "cons"
"Car" "Recall" 151.895 -5 151.9 3 7 6 "3" "975" NA 151.895 "cons"
"Avalanche" "Encod" 161.16 10 161.15 3 8 6 "Video" "Video" 0 161.16 "cons"
"BalJazz" "Encod" 166.659 9 166.65 3 8 6 "Video" "Video" 0 166.659 "cons"
"Owl" "Recall" 172.158 8 172.15 3 7 6 "3" "1417" NA 172.158 "cons"
"Crying" "Encod" 181.407 7 181.4 3 8 6 "Video" "Video" 0 181.407 "cons"
"Car" "Encod" 186.156 6 186.15 3 8 6 "Video" "Video" 0 186.156 "cons"
"Avalanche" "Recall" 190.905 5 190.9 3 8 6 "3" "1477" NA 190.905 "cons"
"Crying" "Recall" 200.154 4 200.15 3 8 6 "2" "1829" NA 200.154 "cons"
"SkateDog" "Recall" 209.403 3 209.4 3 8 6 "2" "2308" NA 209.403 "cons"
"Coliseum" "Encod" 217.901 1 217.9 3 8 6 "Video" "Video" 0 217.901 "cons"
"Diving" "Encod" 222.651 1 222.65 3 8 6 "Video" "Video" 0 222.651 "cons"
"Owl" "Encod" 228.15 0 228.15 3 8 6 "Video" "Video" 0 228.15 "cons"
"Obama" "Encod" 232.899 -1 232.9 3 8 6 "Video" "Video" 0 232.899 "cons"
"BalJazz" "Recall" 237.648 -2 237.65 3 8 6 "2" "1006" NA 237.648 "cons"
"Coliseum" "Recall" 246.147 -3 246.15 3 8 6 "3" "1099" NA 246.147 "cons"
"RCoaster" "Encod" 254.646 -4 254.65 3 8 6 "Video" "Video" 0 254.646 "cons"
"Owl" "Recall" 259.395 -5 259.4 3 8 6 "2" "1027" NA 259.395 "cons"
"Car" "Recall" 268.661 11 268.65 3 8 6 "2" "1066" NA 268.661 "cons"
"Meat" "Encod" 277.159 9 277.15 3 8 6 "Video" "Video" 0 277.159 "cons"
"Diving" "Recall" 282.658 8 282.65 3 8 6 "2" "1268" NA 282.658 "cons"
"Obama" "Recall" 291.907 7 291.9 3 8 6 "2" "1660" NA 291.907 "cons"
"Crying" "Encod" 301.156 6 301.15 3 9 6 "Video" "Video" 0 301.156 "cons"
"Diving" "Encod" 306.655 5 306.65 3 9 6 "Video" "Video" 0 306.655 "cons"
"SkateDog" "Encod" 312.154 4 312.15 3 9 6 "Video" "Video" 0 312.154 "cons"
"BalJazz" "Encod" 316.903 3 316.9 3 9 6 "Video" "Video" 0 316.903 "cons"
"Car" "Encod" 321.653 3 321.65 3 9 6 "Video" "Video" 0 321.653 "cons"
"Meat" "Recall" 326.402 2 326.4 3 8 6 "1" "2917" NA 326.402 "cons"
"RCoaster" "Recall" 334.901 1 334.9 3 8 6 "2" "842" NA 334.901 "cons"
"Obama" "Encod" 343.399 -1 343.4 3 9 6 "Video" "Video" 0 343.399 "cons"
"Diving" "Recall" 348.899 -1 348.9 3 9 6 "2" "644" NA 348.899 "cons"
"Crying" "Recall" 357.397 -3 357.4 3 9 6 "2" "1361" NA 357.397 "cons"
"RCoaster" "Encod" 366.646 -4 366.65 3 9 6 "Video" "Video" 0 366.646 "cons"
"SkateDog" "Recall" 372.145 -5 372.15 3 9 6 "2" "1173" NA 372.145 "cons"
"Coliseum" "Encod" 381.41 10 381.4 3 9 6 "Video" "Video" 0 381.41 "cons"
"Owl" "Encod" 386.16 10 386.15 3 9 6 "Video" "Video" 0 386.16 "cons"
"BalJazz" "Recall" 391.659 9 391.65 3 9 6 "2" "1476" NA 391.659 "cons"
"Meat" "Encod" 400.158 8 400.15 3 9 6 "Video" "Video" 0 400.158 "cons"
"Obama" "Recall" 404.907 7 404.9 3 9 6 "3" "764" NA 404.907 "cons"
"Coliseum" "Recall" 414.156 6 414.15 3 9 6 "3" "1243" NA 414.156 "cons"
"Car" "Recall" 423.404 4 423.4 3 9 6 "0" "3500" NA 423.404 "cons"
"RCoaster" "Recall" 432.653 3 432.65 3 9 6 "2" "1194" NA 432.653 "cons"
"Avalanche" "Encod" 441.152 2 441.15 3 9 6 "Video" "Video" 0 441.152 "cons"
"Avalanche" "Recall" 446.651 1 446.65 3 9 6 "3" "836" NA 446.651 "cons"
"Owl" "Recall" 455.899 -1 455.9 3 9 6 "3" "819" NA 455.899 "cons"
"Meat" "Recall" 464.398 -2 464.4 3 9 6 "3" "745" NA 464.398 "cons"
"Car" "Encod" 10.9 0 10.9 4 10 7 "Video" "Video" 0 10.9 "cons"
"Coliseum" "Encod" 16.399 -1 16.4 4 10 7 "Video" "Video" 0 16.399 "cons"
"Owl" "Encod" 21.898 -2 21.9 4 10 7 "Video" "Video" 0 21.898 "cons"
"Coliseum" "Recall" 26.647 -3 26.65 4 10 7 "2" "1519" NA 26.647 "cons"
"SkateDog" "Encod" 35.896 -4 35.9 4 10 7 "Video" "Video" 0 35.896 "cons"
"Car" "Recall" 40.645 -5 40.65 4 10 7 "3" "881" NA 40.645 "cons"
"BalJazz" "Encod" 49.911 11 49.9 4 10 7 "Video" "Video" 0 49.911 "cons"
"Owl" "Recall" 54.66 10 54.65 4 10 7 "3" "1387" NA 54.66 "cons"
"SkateDog" "Recall" 63.908 8 63.9 4 10 7 "2" "1042" NA 63.908 "cons"
"RCoaster" "Encod" 72.407 7 72.4 4 10 7 "Video" "Video" 0 72.407 "cons"
"Meat" "Encod" 77.156 6 77.15 4 10 7 "Video" "Video" 0 77.156 "cons"
"Diving" "Encod" 81.906 6 81.9 4 10 7 "Video" "Video" 0 81.906 "cons"
